dist_tar,id,lat,lon,name,validFrom
"(58237.86639882745, 6356752.314245179, 1.0005846667112948)",SN76967,60.3902,2.797,OSEBERG SØR,2014-06-02T00:00:00.000Z
"(78160.55075794496, 6356752.314245179, 1.0002833682382792)",SN76965,60.6083,2.7757,OSEBERG C,2014-01-01T00:00:00.000Z
"(89039.44706152499, 6356752.314245179, 1.0008149771030876)",SN76959,60.5425,3.0468,BRAGE,2014-04-24T00:00:00.000Z
"(89127.9512520963, 6356752.314245179, 1.0000031522046202)",SN76960,59.1652,2.4873,GRANEFELTET,2014-01-01T00:00:00.000Z
"(100515.64090294905, 6356752.314245179, 1.0000574278654566)",SN76962,60.8558,2.6503,HULDRAFELTET,2014-06-12T00:00:00.000Z
"(101467.29951260076, 6356752.314245179, 1.0003400590410607)",SN76995,60.7827,2.8978,VESLEFRIKK A,2014-05-05T00:00:00.000Z
"(123732.86230597859, 6356752.314245179, 1.0000036613248877)",SN76969,61.079,2.5063,KVITEBJØRNFELTET,2004-09-26T00:00:00.000Z
"(143564.93499545014, 6356752.314245179, 1.0010281287553349)",SN76957,60.7735,3.501,TROLL B,2000-01-01T00:00:00.000Z
"(155621.57682102718, 6356752.314245179, 1.0000056151400134)",SN76968,61.3648,2.4327,VISUNDFELTET,1999-04-21T00:00:00.000Z
"(169225.7717938568, 6356752.314245179, 1.0000881159753545)",SN76935,61.4489,2.1425,SNORRE A,1992-01-01T00:00:00.000Z
"(176032.36631033817, 6356752.314245179, 1.000053958667586)",SN76936,61.525,2.2097,SNORRE B,2001-01-01T00:00:00.000Z
"(192160.23787376017, 6356752.314245179, 1.0003321015411428)",SN76961,58.4178,1.7178,SLEIPNER B,2015-06-23T00:00:00.000Z
"(217568.68212182002, 6356752.314245179, 1.0008668995969916)",SN76954,61.3322,3.897,GJØAFELTET,2010-11-07T00:00:00.000Z
"(422097.3346870261, 6356752.314245179, 1.000098994403923)",SN76939,56.2782,3.3928,VALHALL A,1982-01-01T00:00:00.000Z
